title,price,brand,category,link,image
FitSmart Pro,89.99,FitnessCo,Smartwatch,https://example.com/fitsmart,https://example.com/fitsmart.jpg
Pulse Max 2,129.99,HeartLine,Smartwatch,https://example.com/pulsemax,https://example.com/pulsemax.jpg
SmartMini Tracker,99.99,MiniTech,Smartwatch,https://example.com/smartmini,https://example.com/smartmini.jpg
GPS Active,139.99,GeoFit,Smartwatch,https://example.com/gpsactive,https://example.com/gpsactive.jpg
MoveStart Watch,109.99,MotionTek,Smartwatch,https://example.com/movestart,https://example.com/movestart.jpg
WiConnect 300,79.99,NetCore,Router,https://example.com/wiconnect300,https://example.com/wiconnect300.jpg
MeshHome Pro,149.99,CoverNet,Router,https://example.com/meshhome,https://example.com/meshhome.jpg
LagFree X,129.99,GamerFlow,Router,https://example.com/lagfreex,https://example.com/lagfreex.jpg
SpeedWave Duo,89.99,StreamMax,Router,https://example.com/speedwave,https://example.com/speedwave.jpg
UrbanLink Compact,99.99,CityConnect,Router,https://example.com/urbanlink,https://example.com/urbanlink.jpg
SilencePods,49.99,HushTone,Earbuds,https://example.com/silencepods,https://example.com/silencepods.jpg
GripBuds Sport,39.99,FitBuds,Earbuds,https://example.com/gripbuds,https://example.com/gripbuds.jpg
SoundPebble Lite,29.99,EcoSound,Earbuds,https://example.com/soundpebble,https://example.com/soundpebble.jpg
EnduroBeats,59.99,PowerPlay,Earbuds,https://example.com/endurobeats,https://example.com/endurobeats.jpg
RainTune Active,44.99,StormSound,Earbuds,https://example.com/raintune,https://example.com/raintune.jpg
